"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.util.WeakHashMap.put (Object, Object)","0.130 ms (0%)","0.124 ms (0%)","0.275 ms (0%)","0.263 ms (0%)","19"
"java.lang.String.getChars (int, int, char[], int)","0.129 ms (0%)","0.124 ms (0%)","0.204 ms (0%)","0.199 ms (0%)","87"
"java.lang.Class.getName ()","0.130 ms (0%)","0.121 ms (0%)","0.130 ms (0%)","0.121 ms (0%)","318"
"java.net.URLStreamHandler.toExternalForm (java.net.URL)","0.134 ms (0%)","0.120 ms (0%)","1.15 ms (0%)","0.928 ms (0%)","18"
"java.lang.AbstractStringBuilder.append (char)","0.317 ms (0%)","0.120 ms (0%)","0.381 ms (0%)","0.181 ms (0%)","232"
"sun.net.www.ParseUtil.firstEncodeIndex (String)","0.119 ms (0%)","0.119 ms (0%)","0.472 ms (0%)","0.465 ms (0%)","18"
"java.lang.ref.ReferenceQueue.poll ()","0.149 ms (0%)","0.119 ms (0%)","0.166 ms (0%)","0.135 ms (0%)","526"
"java.io.BufferedWriter.flushBuffer ()","0.121 ms (0%)","0.118 ms (0%)","2.4 ms (0%)","1.96 ms (0%)","44"
"java.io.PrintStream.write (byte[], int, int)","0.122 ms (0%)","0.118 ms (0%)","1.8 ms (0%)","1.5 ms (0%)","44"
"java.lang.StringConcatHelper.mix (long, String)","0.119 ms (0%)","0.117 ms (0%)","0.747 ms (0%)","0.197 ms (0%)","90"
"java.util.WeakHashMap.remove (Object)","0.117 ms (0%)","0.114 ms (0%)","0.290 ms (0%)","0.282 ms (0%)","38"
"java.util.zip.ZipFile.getEntry (String)","0.120 ms (0%)","0.111 ms (0%)","1.90 ms (0%)","1.80 ms (0%)","18"
"java.util.concurrent.ConcurrentHashMap.addCount (long, int)","0.112 ms (0%)","0.110 ms (0%)","0.140 ms (0%)","0.138 ms (0%)","166"
"java.lang.CharacterDataLatin1.toUpperCase (int)","0.111 ms (0%)","0.110 ms (0%)","0.146 ms (0%)","0.144 ms (0%)","112"
"java.util.jar.Attributes.read (java.util.jar.Manifest.FastInputStream, byte[], String, int)","0.112 ms (0%)","0.110 ms (0%)","1.21 ms (0%)","1.18 ms (0%)","1"
"java.net.URLStreamHandler.setURL (java.net.URL, String, String, int, String, String, String, String, String)","0.125 ms (0%)","0.108 ms (0%)","0.491 ms (0%)","0.464 ms (0%)","18"
"java.lang.Class.getPackageName ()","0.108 ms (0%)","0.107 ms (0%)","0.319 ms (0%)","0.319 ms (0%)","42"
"java.io.Writer.write (String)","0.120 ms (0%)","0.106 ms (0%)","0.577 ms (0%)","0.552 ms (0%)","87"
"java.lang.Math.min (int, int)","0.114 ms (0%)","0.105 ms (0%)","0.114 ms (0%)","0.105 ms (0%)","871"
"jdk.internal.ref.CleanerImpl.getCleanerImpl (java.lang.ref.Cleaner)","0.109 ms (0%)","0.103 ms (0%)","0.185 ms (0%)","0.179 ms (0%)","50"
"sun.nio.cs.StreamEncoder.implWrite (char[], int, int)","0.109 ms (0%)","0.103 ms (0%)","1.73 ms (0%)","1.67 ms (0%)","44"
"java.util.jar.JarFile.entryFor (String)","0.100 ms (0%)","0.102 ms (0%)","0.124 ms (0%)","0.124 ms (0%)","18"
"java.lang.StringConcatHelper.prepend (long, byte[], String)","0.105 ms (0%)","0.101 ms (0%)","0.230 ms (0%)","0.225 ms (0%)","125"
"jdk.internal.loader.URLClassPath$JarLoader.getResource (String, boolean)","0.115 ms (0%)","0.101 ms (0%)","15.1 ms (0%)","7.13 ms (0%)","18"
"java.lang.StringLatin1.canEncode (int)","0.100 ms (0%)","0.098 ms (0%)","0.100 ms (0%)","0.098 ms (0%)","898"
"java.io.BufferedOutputStream.flushBuffer ()","0.103 ms (0%)","0.098 ms (0%)","0.883 ms (0%)","0.862 ms (0%)","88"
"java.lang.AbstractStringBuilder.newCapacity (int)","0.096 ms (0%)","0.097 ms (0%)","0.207 ms (0%)","0.204 ms (0%)","132"
"java.lang.ClassLoader.postDefineClass (Class, java.security.ProtectionDomain)","0.121 ms (0%)","0.096 ms (0%)","0.524 ms (0%)","0.495 ms (0%)","18"
"java.util.concurrent.ConcurrentHashMap.putIfAbsent (Object, Object)","0.105 ms (0%)","0.095 ms (0%)","0.929 ms (0%)","0.821 ms (0%)","119"
"java.lang.StringLatin1.replace (byte[], char, char)","0.094 ms (0%)","0.094 ms (0%)","0.138 ms (0%)","0.133 ms (0%)","51"
"java.util.jar.JarFile.getEntry (String)","0.103 ms (0%)","0.094 ms (0%)","2.9 ms (0%)","1.96 ms (0%)","18"
"java.lang.String.newStringUTF8NoRepl (byte[], int, int)","0.095 ms (0%)","0.094 ms (0%)","0.171 ms (0%)","0.169 ms (0%)","19"
"java.lang.Class.getClassLoader ()","0.097 ms (0%)","0.094 ms (0%)","0.122 ms (0%)","0.119 ms (0%)","134"
"java.lang.String.indexOf (int)","0.100 ms (0%)","0.093 ms (0%)","0.508 ms (0%)","0.487 ms (0%)","124"
"jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass (String, boolean)","0.099 ms (0%)","0.092 ms (0%)","46.5 ms (0%)","24.6 ms (0%)","29"
"java.lang.ClassLoader.checkCerts (String, java.security.CodeSource)","0.094 ms (0%)","0.092 ms (0%)","0.273 ms (0%)","0.270 ms (0%)","18"
"java.util.concurrent.ConcurrentHashMap.replaceNode (Object, Object, Object)","0.091 ms (0%)","0.091 ms (0%)","0.223 ms (0%)","0.218 ms (0%)","65"
"java.util.zip.ZipFile$ZipFileInputStream.read (byte[], int, int)","0.098 ms (0%)","0.089 ms (0%)","0.957 ms (0%)","0.839 ms (0%)","19"
"sun.nio.cs.StreamEncoder.write (char[], int, int)","0.093 ms (0%)","0.089 ms (0%)","1.85 ms (0%)","1.77 ms (0%)","44"
"java.util.zip.ZipFile$ZipFileInputStream.initDataOffset ()","0.090 ms (0%)","0.086 ms (0%)","0.556 ms (0%)","0.457 ms (0%)","19"
"java.lang.ClassLoader.getClassLoadingLock (String)","0.088 ms (0%)","0.084 ms (0%)","0.809 ms (0%)","0.700 ms (0%)","47"
"java.lang.String.startsWith (String)","0.091 ms (0%)","0.084 ms (0%)","0.563 ms (0%)","0.411 ms (0%)","80"
"java.lang.CharacterDataLatin1.toLowerCase (int)","0.086 ms (0%)","0.084 ms (0%)","0.127 ms (0%)","0.124 ms (0%)","180"
"jdk.internal.util.ArraysSupport.newLength (int, int, int)","0.085 ms (0%)","0.084 ms (0%)","0.112 ms (0%)","0.109 ms (0%)","143"
"java.util.jar.Attributes$Name.<clinit> ()","0.085 ms (0%)","0.084 ms (0%)","0.347 ms (0%)","0.341 ms (0%)","1"
"java.util.ArrayList.get (int)","0.089 ms (0%)","0.081 ms (0%)","0.175 ms (0%)","0.163 ms (0%)","32"
"jdk.internal.loader.URLClassPath.getResource (String, boolean)","0.093 ms (0%)","0.080 ms (0%)","15.4 ms (0%)","7.42 ms (0%)","18"
"java.util.Collections$SetFromMap.add (Object)","0.086 ms (0%)","0.080 ms (0%)","0.363 ms (0%)","0.345 ms (0%)","19"
"jdk.internal.misc.Unsafe.allocateUninitializedArray (Class, int)","0.080 ms (0%)","0.078 ms (0%)","0.114 ms (0%)","0.110 ms (0%)","85"
"java.lang.StringLatin1.hashCode (byte[])","0.077 ms (0%)","0.076 ms (0%)","0.077 ms (0%)","0.076 ms (0%)","387"
"java.net.URL.isBuiltinStreamHandler (java.net.URLStreamHandler)","0.078 ms (0%)","0.076 ms (0%)","0.235 ms (0%)","0.233 ms (0%)","18"
"java.util.zip.ZipFile$CleanableResource.getInflater ()","0.082 ms (0%)","0.076 ms (0%)","0.235 ms (0%)","0.216 ms (0%)","19"
"java.lang.String.concat (String)","0.074 ms (0%)","0.075 ms (0%)","1.2 ms (0%)","0.803 ms (0%)","19"
"java.util.ArrayList.grow (int)","0.080 ms (0%)","0.075 ms (0%)","0.170 ms (0%)","0.159 ms (0%)","49"
"java.lang.AbstractStringBuilder.getCoder ()","0.073 ms (0%)","0.074 ms (0%)","0.073 ms (0%)","0.074 ms (0%)","486"
"jdk.internal.loader.BuiltinClassLoader.loadClass (String, boolean)","0.077 ms (0%)","0.073 ms (0%)","46.4 ms (0%)","24.4 ms (0%)","29"
"jdk.internal.loader.URLClassPath.getLoader (int)","0.078 ms (0%)","0.073 ms (0%)","0.231 ms (0%)","0.215 ms (0%)","18"
"java.util.Arrays.copyOf (Object[], int)","0.080 ms (0%)","0.073 ms (0%)","0.181 ms (0%)","0.173 ms (0%)","80"
"sun.nio.cs.UTF_8.updatePositions (java.nio.Buffer, int, java.nio.Buffer, int)","0.072 ms (0%)","0.073 ms (0%)","0.161 ms (0%)","0.160 ms (0%)","44"
"java.util.jar.Attributes.putValue (String, String)","0.077 ms (0%)","0.073 ms (0%)","0.827 ms (0%)","0.805 ms (0%)","3"
"java.lang.StringBuilder.append (char)","0.070 ms (0%)","0.072 ms (0%)","0.453 ms (0%)","0.255 ms (0%)","232"
"java.util.zip.ZipFile$ZipFileInflaterInputStream.close ()","0.079 ms (0%)","0.072 ms (0%)","0.683 ms (0%)","0.647 ms (0%)","19"
"java.lang.ClassLoader.preDefineClass (String, java.security.ProtectionDomain)","0.075 ms (0%)","0.072 ms (0%)","0.716 ms (0%)","0.564 ms (0%)","18"
"java.lang.AbstractStringBuilder.append (int)","0.074 ms (0%)","0.072 ms (0%)","0.126 ms (0%)","0.124 ms (0%)","55"
"java.net.URLStreamHandler.setURL (java.net.URL, String, String, int, String, String)","0.076 ms (0%)","0.071 ms (0%)","0.667 ms (0%)","0.634 ms (0%)","18"
"java.util.WeakHashMap.getTable ()","0.073 ms (0%)","0.071 ms (0%)","0.175 ms (0%)","0.170 ms (0%)","57"
"java.util.ArrayDeque.pollFirst ()","0.079 ms (0%)","0.070 ms (0%)","0.101 ms (0%)","0.092 ms (0%)","19"
"java.lang.System.getSecurityManager ()","0.071 ms (0%)","0.069 ms (0%)","0.099 ms (0%)","0.097 ms (0%)","80"
"java.lang.String.toLowerCase ()","0.073 ms (0%)","0.069 ms (0%)","0.397 ms (0%)","0.252 ms (0%)","36"
"java.util.ArrayList.add (Object, Object[], int)","0.297 ms (0%)","0.069 ms (0%)","0.496 ms (0%)","0.254 ms (0%)","112"
"jdk.internal.misc.Unsafe.getReferenceAcquire (Object, long)","0.066 ms (0%)","0.068 ms (0%)","0.066 ms (0%)","0.068 ms (0%)","313"
"java.lang.StringLatin1.indexOfChar (byte[], int, int, int)","0.077 ms (0%)","0.068 ms (0%)","0.077 ms (0%)","0.068 ms (0%)","412"
"java.lang.String.getBytes (byte[], int, byte)","0.069 ms (0%)","0.068 ms (0%)","0.085 ms (0%)","0.086 ms (0%)","168"
"java.util.ArrayList.add (Object)","0.078 ms (0%)","0.068 ms (0%)","0.579 ms (0%)","0.326 ms (0%)","112"
"java.util.jar.JarFile.isMultiRelease ()","0.073 ms (0%)","0.068 ms (0%)","0.102 ms (0%)","0.097 ms (0%)","36"
"java.lang.CharacterDataLatin1.getProperties (int)","0.068 ms (0%)","0.068 ms (0%)","0.068 ms (0%)","0.068 ms (0%)","292"
"java.util.WeakHashMap.expungeStaleEntries ()","0.072 ms (0%)","0.068 ms (0%)","0.101 ms (0%)","0.095 ms (0%)","57"
"java.util.concurrent.ConcurrentHashMap.casTabAt (java.util.concurrent.ConcurrentHashMap.Node[], int, java.util.concurrent.ConcurrentHashMap.Node, java.util.concurrent.ConcurrentHashMap.Node)","0.068 ms (0%)","0.067 ms (0%)","0.068 ms (0%)","0.067 ms (0%)","79"
"java.io.RandomAccessFile.seek (long)","0.066 ms (0%)","0.067 ms (0%)","0.066 ms (0%)","0.067 ms (0%)","38"
"java.util.concurrent.ConcurrentHashMap.spread (int)","0.073 ms (0%)","0.066 ms (0%)","0.073 ms (0%)","0.066 ms (0%)","618"
"jdk.internal.loader.Resource.cachedInputStream ()","0.120 ms (0%)","0.066 ms (0%)","1.91 ms (0%)","1.71 ms (0%)","36"
"java.lang.String.isEmpty ()","0.067 ms (0%)","0.065 ms (0%)","0.067 ms (0%)","0.065 ms (0%)","216"
"java.security.SecureClassLoader.getProtectionDomain (java.security.CodeSource)","0.069 ms (0%)","0.065 ms (0%)","0.296 ms (0%)","0.292 ms (0%)","18"
"java.lang.StringCoding.implEncodeAsciiArray (char[], int, byte[], int, int)","0.065 ms (0%)","0.065 ms (0%)","0.065 ms (0%)","0.065 ms (0%)","44"
"java.util.zip.ZipCoder$UTF8ZipCoder.toString (byte[], int, int)","0.058 ms (0%)","0.064 ms (0%)","0.279 ms (0%)","0.270 ms (0%)","19"
"sun.net.www.protocol.jar.Handler.canonicalizeString (String, int)","0.070 ms (0%)","0.064 ms (0%)","0.325 ms (0%)","0.306 ms (0%)","18"
"java.util.Objects.equals (Object, Object)","0.067 ms (0%)","0.064 ms (0%)","0.100 ms (0%)","0.096 ms (0%)","613"
"java.lang.System$2.encodeASCII (char[], int, byte[], int, int)","0.067 ms (0%)","0.063 ms (0%)","0.135 ms (0%)","0.131 ms (0%)","44"
"java.util.zip.ZipFile$Source.readFullyAt (byte[], int, int, long)","0.066 ms (0%)","0.062 ms (0%)","0.371 ms (0%)","0.276 ms (0%)","19"
"java.io.BufferedWriter.newLine ()","0.066 ms (0%)","0.062 ms (0%)","0.203 ms (0%)","0.187 ms (0%)","44"
"sun.nio.cs.StreamEncoder.flushBuffer ()","0.063 ms (0%)","0.062 ms (0%)","1.46 ms (0%)","1.41 ms (0%)","44"
"java.lang.String.indexOf (byte[], byte, int, String, int)","0.063 ms (0%)","0.061 ms (0%)","0.109 ms (0%)","0.107 ms (0%)","18"
"java.util.jar.JarFile.getInputStream (java.util.zip.ZipEntry)","0.071 ms (0%)","0.061 ms (0%)","1.73 ms (0%)","1.58 ms (0%)","18"
"java.util.zip.ZipFile$CleanableResource.releaseInflater (java.util.zip.Inflater)","0.063 ms (0%)","0.061 ms (0%)","0.197 ms (0%)","0.190 ms (0%)","19"
"java.lang.String.toLowerCase (java.util.Locale)","0.063 ms (0%)","0.061 ms (0%)","0.161 ms (0%)","0.158 ms (0%)","36"
"java.util.ImmutableCollections$MapN.get (Object)","0.063 ms (0%)","0.059 ms (0%)","0.335 ms (0%)","0.329 ms (0%)","21"
