"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.lang.invoke.MethodType.makeImpl (Class, Class[], boolean)","0.435 ms (0%)","0.420 ms (0%)","4.65 ms (0%)","4.11 ms (0%)","429"
"java.lang.Math.min (int, int)","0.485 ms (0%)","0.399 ms (0%)","0.485 ms (0%)","0.399 ms (0%)","7,019"
"java.lang.StringBuilder.append (String)","0.416 ms (0%)","0.391 ms (0%)","24.2 ms (0%)","5.71 ms (0%)","1,037"
"java.lang.String.getBytes (byte[], int, int, byte, int)","0.645 ms (0%)","0.389 ms (0%)","0.792 ms (0%)","0.531 ms (0%)","1,037"
"jdk.internal.org.objectweb.asm.SymbolTable.addConstantNameAndType (String, String)","0.376 ms (0%)","0.376 ms (0%)","6.56 ms (0%)","2.99 ms (0%)","225"
"java.util.zip.ZipFile.getZipEntry (String, int)","0.741 ms (0%)","0.366 ms (0%)","1.84 ms (0%)","1.14 ms (0%)","36"
"jdk.internal.loader.BuiltinClassLoader.loadClassOrNull (String, boolean)","0.374 ms (0%)","0.363 ms (0%)","57.1 ms (0%)","35.5 ms (0%)","83"
"java.lang.invoke.InvokerBytecodeGenerator.addMethod ()","0.373 ms (0%)","0.360 ms (0%)","15.9 ms (0%)","15.1 ms (0%)","17"
"Harness.processArguments (String[])","0.367 ms (0%)","0.358 ms (0%)","24.4 ms (0%)","23.2 ms (0%)","1"
"jdk.internal.misc.Unsafe.getReferenceAcquire (Object, long)","0.381 ms (0%)","0.355 ms (0%)","0.381 ms (0%)","0.355 ms (0%)","1,413"
"jdk.internal.org.objectweb.asm.SymbolTable.addConstantMemberReference (int, String, String, String)","0.354 ms (0%)","0.352 ms (0%)","8.20 ms (0%)","4.52 ms (0%)","251"
"sun.nio.cs.UTF_8$Encoder.encodeArrayLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.339 ms (0%)","0.333 ms (0%)","0.669 ms (0%)","0.655 ms (0%)","44"
"jdk.internal.org.objectweb.asm.ClassWriter.toByteArray ()","0.343 ms (0%)","0.333 ms (0%)","4.1 ms (0%)","1.64 ms (0%)","27"
"java.lang.invoke.InvokerBytecodeGenerator.generateCustomizedCode (java.lang.invoke.LambdaForm, java.lang.invoke.MethodType)","0.343 ms (0%)","0.332 ms (0%)","28.6 ms (0%)","24.2 ms (0%)","21"
"jdk.internal.org.objectweb.asm.SymbolTable.addConstantUtf8Reference (int, String)","0.332 ms (0%)","0.325 ms (0%)","3.89 ms (0%)","3.2 ms (0%)","433"
"java.lang.String.equals (Object)","0.360 ms (0%)","0.324 ms (0%)","0.533 ms (0%)","0.492 ms (0%)","1,554"
"java.lang.invoke.MethodType.insertParameterTypes (int, Class[])","0.316 ms (0%)","0.323 ms (0%)","2.57 ms (0%)","2.11 ms (0%)","162"
"java.lang.StringBuilder.toString ()","0.583 ms (0%)","0.318 ms (0%)","1.35 ms (0%)","0.938 ms (0%)","496"
"java.lang.ref.Cleaner.register (Object, Runnable)","0.319 ms (0%)","0.318 ms (0%)","0.635 ms (0%)","0.625 ms (0%)","59"
"java.util.Objects.requireNonNull (Object)","0.369 ms (0%)","0.315 ms (0%)","0.369 ms (0%)","0.315 ms (0%)","2,166"
