"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.lang.StringLatin1.replace (byte[], char, char)","0.921 ms (0%)","0.304 ms (0%)","1.25 ms (0%)","0.628 ms (0%)","299"
"java.lang.AbstractStringBuilder.append (char)","0.304 ms (0%)","0.301 ms (0%)","0.534 ms (0%)","0.513 ms (0%)","565"
"jdk.internal.loader.BuiltinClassLoader.defineClass (String, jdk.internal.loader.Resource)","0.316 ms (0%)","0.295 ms (0%)","22.8 ms (0.1%)","21.4 ms (0.1%)","38"
"java.util.Objects.requireNonNull (Object)","0.342 ms (0%)","0.283 ms (0%)","0.342 ms (0%)","0.283 ms (0%)","2,202"
"java.io.RandomAccessFile.read (byte[], int, int)","0.280 ms (0%)","0.282 ms (0%)","0.280 ms (0%)","0.282 ms (0%)","78"
"java.util.Arrays.copyOf (byte[], int)","0.265 ms (0%)","0.277 ms (0%)","0.317 ms (0%)","0.325 ms (0%)","393"
"java.util.Arrays.copyOf (Object[], int)","0.283 ms (0%)","0.276 ms (0%)","1.51 ms (0%)","1.48 ms (0%)","277"
"java.util.zip.ZipFile$Source.getEntryPos (String, boolean)","0.287 ms (0%)","0.274 ms (0%)","1.20 ms (0%)","1.10 ms (0%)","39"
"java.lang.String.lastIndexOf (int, int)","0.265 ms (0%)","0.263 ms (0%)","1.19 ms (0%)","0.833 ms (0%)","367"
"java.lang.ClassLoader.checkName (String)","0.257 ms (0%)","0.260 ms (0%)","1.21 ms (0%)","1.19 ms (0%)","176"
"sun.net.www.ParseUtil.firstEncodeIndex (String)","0.261 ms (0%)","0.258 ms (0%)","1.5 ms (0%)","1.3 ms (0%)","38"
"java.lang.Class.getPackageName ()","0.271 ms (0%)","0.257 ms (0%)","1.12 ms (0%)","0.759 ms (0%)","194"
"java.lang.StringBuilder.toString ()","0.294 ms (0%)","0.256 ms (0%)","0.899 ms (0%)","0.847 ms (0%)","528"
"java.lang.String.lastIndexOf (int)","0.262 ms (0%)","0.254 ms (0%)","1.62 ms (0%)","1.25 ms (0%)","329"
"java.lang.String.startsWith (String, int)","0.244 ms (0%)","0.250 ms (0%)","0.495 ms (0%)","0.488 ms (0%)","206"
"jdk.internal.loader.Resource.getBytes ()","0.257 ms (0%)","0.247 ms (0%)","4.68 ms (0%)","4.54 ms (0%)","38"
"jdk.internal.loader.URLClassPath$JarLoader$2.getBytes ()","0.247 ms (0%)","0.244 ms (0%)","4.96 ms (0%)","4.81 ms (0%)","38"
"java.util.concurrent.ConcurrentHashMap.computeIfAbsent (Object, java.util.function.Function)","0.261 ms (0%)","0.244 ms (0%)","0.851 ms (0%)","0.651 ms (0%)","58"
"sun.net.util.URLUtil.urlNoFragString (java.net.URL)","0.239 ms (0%)","0.238 ms (0%)","2.7 ms (0%)","2.2 ms (0%)","38"
"java.lang.StringLatin1.regionMatchesCI (byte[], int, byte[], int, int)","0.241 ms (0%)","0.237 ms (0%)","0.984 ms (0%)","0.968 ms (0%)","114"
"DeltaBlue.innerBenchmarkLoop (int)","0.244 ms (0%)","0.235 ms (0%)","2,195 ms (11.1%)","2,104 ms (11.2%)","1"
"java.lang.CharacterDataLatin1.toLowerCase (int)","0.235 ms (0%)","0.233 ms (0%)","0.326 ms (0%)","0.325 ms (0%)","380"
"java.util.zip.InflaterInputStream.read (byte[], int, int)","0.254 ms (0%)","0.233 ms (0%)","3.29 ms (0%)","3.21 ms (0%)","68"
"java.lang.String.regionMatches (boolean, int, String, int, int)","0.221 ms (0%)","0.224 ms (0%)","1.39 ms (0%)","1.37 ms (0%)","114"
"sun.net.www.protocol.jar.Handler.parseURL (java.net.URL, String, int, int)","0.224 ms (0%)","0.219 ms (0%)","4.25 ms (0%)","4.16 ms (0%)","38"
"java.net.URLStreamHandler.toExternalForm (java.net.URL)","0.217 ms (0%)","0.218 ms (0%)","1.78 ms (0%)","1.75 ms (0%)","38"
"java.lang.Character.toLowerCase (int)","0.217 ms (0%)","0.217 ms (0%)","0.477 ms (0%)","0.469 ms (0%)","228"
"java.util.zip.ZipUtils.LG (byte[], int)","0.209 ms (0%)","0.210 ms (0%)","0.336 ms (0%)","0.333 ms (0%)","347"
"java.util.concurrent.ConcurrentHashMap.addCount (long, int)","0.211 ms (0%)","0.207 ms (0%)","0.300 ms (0%)","0.295 ms (0%)","268"
"java.lang.Math.min (int, int)","0.220 ms (0%)","0.191 ms (0%)","0.220 ms (0%)","0.191 ms (0%)","2,575"
"Run.lambda$getSuiteFromName$2 ()","0.196 ms (0%)","0.189 ms (0%)","0.268 ms (0%)","0.261 ms (0%)","1"
"java.lang.Class.getName ()","0.208 ms (0%)","0.188 ms (0%)","0.208 ms (0%)","0.188 ms (0%)","614"
"jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull (String)","0.196 ms (0%)","0.186 ms (0%)","34.0 ms (0.2%)","32.2 ms (0.2%)","38"
"java.util.WeakHashMap.put (Object, Object)","0.384 ms (0%)","0.184 ms (0%)","0.560 ms (0%)","0.351 ms (0%)","39"
"java.lang.StringBuilder.append (char)","0.510 ms (0%)","0.182 ms (0%)","1.6 ms (0%)","0.712 ms (0%)","565"
"java.lang.System.getSecurityManager ()","0.179 ms (0%)","0.176 ms (0%)","0.271 ms (0%)","0.265 ms (0%)","540"
"java.lang.StringLatin1.hashCode (byte[])","0.180 ms (0%)","0.173 ms (0%)","0.180 ms (0%)","0.173 ms (0%)","825"
"java.util.WeakHashMap.remove (Object)","0.173 ms (0%)","0.173 ms (0%)","0.459 ms (0%)","0.444 ms (0%)","78"
"java.lang.ClassLoader.checkCerts (String, java.security.CodeSource)","0.177 ms (0%)","0.173 ms (0%)","0.715 ms (0%)","0.701 ms (0%)","38"
"java.lang.String.replace (char, char)","0.211 ms (0%)","0.171 ms (0%)","1.51 ms (0%)","0.856 ms (0%)","299"
"java.lang.Class.getClassLoader ()","0.184 ms (0%)","0.169 ms (0%)","0.282 ms (0%)","0.263 ms (0%)","575"
"deltablue.Strength.createStrengthTable ()","0.178 ms (0%)","0.169 ms (0%)","3.34 ms (0%)","3.30 ms (0%)","1"
"java.lang.ClassLoader.findLoadedClass (String)","0.163 ms (0%)","0.165 ms (0%)","0.827 ms (0%)","0.816 ms (0%)","86"
"deltablue.Strength.<clinit> ()","0.177 ms (0%)","0.165 ms (0%)","10.0 ms (0.1%)","9.89 ms (0.1%)","1"
"java.lang.AbstractStringBuilder.append (int)","0.163 ms (0%)","0.164 ms (0%)","0.302 ms (0%)","0.299 ms (0%)","121"
"java.util.concurrent.ConcurrentHashMap.replaceNode (Object, Object, Object)","0.160 ms (0%)","0.160 ms (0%)","0.358 ms (0%)","0.351 ms (0%)","65"
"java.util.zip.ZipUtils.SH (byte[], int)","0.149 ms (0%)","0.155 ms (0%)","0.149 ms (0%)","0.155 ms (0%)","1,078"
"java.lang.CharacterDataLatin1.toUpperCase (int)","0.159 ms (0%)","0.154 ms (0%)","0.224 ms (0%)","0.215 ms (0%)","232"
"sun.net.www.protocol.jar.Handler.parseContextSpec (java.net.URL, String)","0.153 ms (0%)","0.153 ms (0%)","1.50 ms (0%)","1.45 ms (0%)","38"
"jdk.internal.misc.Unsafe.getReferenceAcquire (Object, long)","0.160 ms (0%)","0.150 ms (0%)","0.160 ms (0%)","0.150 ms (0%)","1,311"
"java.lang.ref.ReferenceQueue.poll ()","0.189 ms (0%)","0.148 ms (0%)","0.224 ms (0%)","0.182 ms (0%)","860"
"java.util.concurrent.ConcurrentHashMap.putIfAbsent (Object, Object)","0.150 ms (0%)","0.146 ms (0%)","1.61 ms (0%)","1.58 ms (0%)","240"
"java.lang.StringLatin1.indexOfChar (byte[], int, int, int)","0.150 ms (0%)","0.146 ms (0%)","0.150 ms (0%)","0.146 ms (0%)","879"
"java.io.FileOutputStream.write (byte[], int, int)","0.146 ms (0%)","0.146 ms (0%)","0.153 ms (0%)","0.152 ms (0%)","5"
"java.lang.StringConcatHelper.newArray (long)","0.146 ms (0%)","0.142 ms (0%)","0.419 ms (0%)","0.412 ms (0%)","320"
"jdk.internal.misc.Unsafe.allocateUninitializedArray (Class, int)","0.144 ms (0%)","0.142 ms (0%)","0.241 ms (0%)","0.235 ms (0%)","320"
"java.util.Objects.equals (Object, Object)","0.153 ms (0%)","0.141 ms (0%)","0.435 ms (0%)","0.243 ms (0%)","888"
"java.lang.StringConcatHelper.mix (long, String)","0.141 ms (0%)","0.140 ms (0%)","0.270 ms (0%)","0.266 ms (0%)","133"
"java.util.zip.ZipFile$ZipFileInputStream.initDataOffset ()","0.143 ms (0%)","0.140 ms (0%)","0.827 ms (0%)","0.814 ms (0%)","39"
"java.lang.StringConcatHelper.prepend (long, byte[], String)","0.139 ms (0%)","0.136 ms (0%)","0.340 ms (0%)","0.337 ms (0%)","129"
"java.lang.StringLatin1.canEncode (int)","0.145 ms (0%)","0.135 ms (0%)","0.145 ms (0%)","0.135 ms (0%)","2,404"
"java.util.zip.ZipFile$ZipFileInputStream.read (byte[], int, int)","0.142 ms (0%)","0.135 ms (0%)","1.44 ms (0%)","1.42 ms (0%)","39"
"java.util.concurrent.ConcurrentHashMap.spread (int)","0.136 ms (0%)","0.130 ms (0%)","0.136 ms (0%)","0.130 ms (0%)","1,112"
"jdk.internal.loader.BuiltinClassLoader.findLoadedModule (String)","0.125 ms (0%)","0.128 ms (0%)","1.8 ms (0%)","1.6 ms (0%)","86"
"java.lang.String.indexOf (int)","0.129 ms (0%)","0.128 ms (0%)","0.844 ms (0%)","0.825 ms (0%)","357"
"java.util.zip.ZipFile.getEntry (String)","0.142 ms (0%)","0.128 ms (0%)","2.51 ms (0%)","2.35 ms (0%)","38"
"java.net.URLStreamHandler.setURL (java.net.URL, String, String, int, String, String, String, String, String)","0.125 ms (0%)","0.125 ms (0%)","0.558 ms (0%)","0.548 ms (0%)","38"
"java.io.RandomAccessFile.seek (long)","0.125 ms (0%)","0.125 ms (0%)","0.125 ms (0%)","0.125 ms (0%)","78"
"java.lang.ClassLoader.postDefineClass (Class, java.security.ProtectionDomain)","0.147 ms (0%)","0.123 ms (0%)","1.24 ms (0%)","0.860 ms (0%)","38"
"java.lang.AbstractStringBuilder.newCapacity (int)","0.142 ms (0%)","0.122 ms (0%)","0.328 ms (0%)","0.305 ms (0%)","327"
"java.lang.ClassLoader.preDefineClass (String, java.security.ProtectionDomain)","0.128 ms (0%)","0.122 ms (0%)","1.27 ms (0%)","1.24 ms (0%)","38"
"jdk.internal.loader.ClassLoaders$AppClassLoader.loadClass (String, boolean)","0.125 ms (0%)","0.118 ms (0%)","38.2 ms (0.2%)","36.3 ms (0.2%)","48"
"java.lang.AbstractStringBuilder.getCoder ()","0.125 ms (0%)","0.118 ms (0%)","0.125 ms (0%)","0.118 ms (0%)","1,034"
"java.lang.CharacterDataLatin1.getProperties (int)","0.122 ms (0%)","0.115 ms (0%)","0.122 ms (0%)","0.115 ms (0%)","612"
"java.lang.StringLatin1.toLowerCase (String, byte[], java.util.Locale)","0.113 ms (0%)","0.114 ms (0%)","0.276 ms (0%)","0.275 ms (0%)","76"
"java.util.jar.JarFile.entryFor (String)","0.113 ms (0%)","0.112 ms (0%)","0.147 ms (0%)","0.146 ms (0%)","38"
"jdk.internal.util.ArraysSupport.newLength (int, int, int)","0.113 ms (0%)","0.112 ms (0%)","0.163 ms (0%)","0.159 ms (0%)","340"
"java.lang.String.newStringUTF8NoRepl (byte[], int, int)","0.121 ms (0%)","0.108 ms (0%)","0.234 ms (0%)","0.221 ms (0%)","39"
"java.lang.StringLatin1.equals (byte[], byte[])","0.286 ms (0%)","0.108 ms (0%)","0.286 ms (0%)","0.108 ms (0%)","360"
"java.util.zip.ZipFile$ZipFileInflaterInputStream.close ()","0.118 ms (0%)","0.108 ms (0%)","1.3 ms (0%)","0.985 ms (0%)","39"
"java.security.SecureClassLoader.getProtectionDomain (java.security.CodeSource)","0.110 ms (0%)","0.106 ms (0%)","0.758 ms (0%)","0.569 ms (0%)","38"
"jdk.internal.loader.URLClassPath$JarLoader.getResource (String, boolean)","0.115 ms (0%)","0.105 ms (0%)","10.1 ms (0.1%)","9.87 ms (0.1%)","38"
"jdk.internal.ref.CleanerImpl.getCleanerImpl (java.lang.ref.Cleaner)","0.108 ms (0%)","0.104 ms (0%)","0.237 ms (0%)","0.231 ms (0%)","140"
"som.IdentityDictionary.newEntry (som.Dictionary.CustomHash, Object, int)","0.105 ms (0%)","0.104 ms (0%)","0.105 ms (0%)","0.104 ms (0%)","16"
"java.util.ArrayList.add (Object)","0.116 ms (0%)","0.100 ms (0%)","0.415 ms (0%)","0.381 ms (0%)","137"
"java.lang.AbstractStringBuilder.isLatin1 ()","0.114 ms (0%)","0.099 ms (0%)","0.114 ms (0%)","0.099 ms (0%)","1,214"
"deltablue.Planner.change (deltablue.Variable, int)","0.098 ms (0%)","0.099 ms (0%)","534 ms (2.7%)","507 ms (2.7%)","4"
"java.util.zip.ZipFile$Source.readFullyAt (byte[], int, int, long)","0.103 ms (0%)","0.097 ms (0%)","0.540 ms (0%)","0.534 ms (0%)","39"
"java.lang.String.toLowerCase ()","0.104 ms (0%)","0.096 ms (0%)","0.531 ms (0%)","0.520 ms (0%)","76"
"java.util.jar.Attributes.read (java.util.jar.Manifest.FastInputStream, byte[], String, int)","0.110 ms (0%)","0.095 ms (0%)","0.647 ms (0%)","0.597 ms (0%)","1"
"java.lang.Math.max (int, int)","0.122 ms (0%)","0.093 ms (0%)","0.122 ms (0%)","0.093 ms (0%)","735"
"java.util.ArrayList.grow (int)","0.099 ms (0%)","0.093 ms (0%)","0.202 ms (0%)","0.193 ms (0%)","56"
"java.lang.String.startsWith (String)","0.097 ms (0%)","0.092 ms (0%)","0.623 ms (0%)","0.610 ms (0%)","206"
