"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.lang.String.substring (int, int)","0.614 ms (0%)","0.586 ms (0%)","1.78 ms (0%)","1.69 ms (0%)","712"
"sun.nio.cs.UTF_8$Encoder.encodeArrayLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.573 ms (0%)","0.563 ms (0%)","1.13 ms (0%)","1.10 ms (0%)","84"
"java.lang.AbstractStringBuilder.putStringAt (int, String)","0.551 ms (0%)","0.527 ms (0%)","3.6 ms (0%)","2.79 ms (0%)","1,040"
"java.util.Arrays.copyOfRange (byte[], int, int)","0.542 ms (0%)","0.517 ms (0%)","0.680 ms (0%)","0.646 ms (0%)","1,196"
"java.util.zip.ZipFile.getInputStream (java.util.zip.ZipEntry)","0.510 ms (0%)","0.505 ms (0%)","1.97 ms (0%)","1.90 ms (0%)","39"
"jdk.internal.loader.URLClassPath$JarLoader.checkResource (String, boolean, java.util.jar.JarEntry)","0.516 ms (0%)","0.492 ms (0%)","7.26 ms (0%)","7.8 ms (0%)","38"
"DeltaBlue.innerBenchmarkLoop (int)","0.495 ms (0%)","0.485 ms (0%)","155,486 ms (11.3%)","150,827 ms (11.3%)","80"
"java.lang.StringLatin1.newString (byte[], int, int)","0.485 ms (0%)","0.484 ms (0%)","1.19 ms (0%)","1.15 ms (0%)","1,151"
"java.lang.String.getBytes (byte[], int, int, byte, int)","0.480 ms (0%)","0.480 ms (0%)","0.628 ms (0%)","0.626 ms (0%)","1,040"
"java.lang.String.indexOf (int, int)","0.714 ms (0%)","0.475 ms (0%)","1.79 ms (0%)","1.45 ms (0%)","923"
"java.util.concurrent.ConcurrentHashMap.tabAt (java.util.concurrent.ConcurrentHashMap.Node[], int)","0.493 ms (0%)","0.473 ms (0%)","0.713 ms (0%)","0.684 ms (0%)","1,320"
"java.io.PrintStream.println (String)","0.472 ms (0%)","0.473 ms (0%)","7.58 ms (0%)","7.37 ms (0%)","83"
"deltablue.Variable.removeConstraint (deltablue.AbstractConstraint)","0.487 ms (0%)","0.465 ms (0%)","139 ms (0%)","138 ms (0%)","800"
"java.lang.StringLatin1.indexOf (byte[], int, int)","0.467 ms (0%)","0.458 ms (0%)","0.881 ms (0%)","0.802 ms (0%)","923"
"deltablue.UnaryConstraint.removeFromGraph ()","0.462 ms (0%)","0.457 ms (0%)","140 ms (0%)","139 ms (0%)","800"
"java.lang.AbstractStringBuilder.ensureCapacityInternal (int)","0.465 ms (0%)","0.449 ms (0%)","1.18 ms (0%)","1.16 ms (0%)","1,742"
"java.lang.StringLatin1.replace (byte[], char, char)","0.432 ms (0%)","0.432 ms (0%)","0.931 ms (0%)","0.929 ms (0%)","305"
"java.lang.Math.min (int, int)","0.520 ms (0%)","0.422 ms (0%)","0.520 ms (0%)","0.422 ms (0%)","6,968"
"jdk.internal.loader.BuiltinClassLoader.loadClassOrNull (String, boolean)","0.408 ms (0%)","0.401 ms (0%)","37.9 ms (0%)","36.1 ms (0%)","86"
"java.nio.CharBuffer.wrap (char[], int, int)","0.395 ms (0%)","0.385 ms (0%)","0.660 ms (0%)","0.639 ms (0%)","84"
"java.lang.ref.Cleaner.register (Object, Runnable)","0.368 ms (0%)","0.363 ms (0%)","0.725 ms (0%)","0.710 ms (0%)","71"
"java.lang.String.equals (Object)","0.367 ms (0%)","0.352 ms (0%)","0.520 ms (0%)","0.501 ms (0%)","1,587"
"java.lang.StringBuilder.append (String)","0.378 ms (0%)","0.351 ms (0%)","5.89 ms (0%)","5.55 ms (0%)","1,040"
"java.lang.AbstractStringBuilder.append (char)","0.344 ms (0%)","0.349 ms (0%)","0.611 ms (0%)","0.602 ms (0%)","574"
"java.lang.StringLatin1.lastIndexOf (byte[], int, int)","0.351 ms (0%)","0.343 ms (0%)","0.472 ms (0%)","0.465 ms (0%)","368"
"java.util.zip.ZipFile.getZipEntry (String, int)","0.355 ms (0%)","0.342 ms (0%)","1.7 ms (0%)","1.4 ms (0%)","38"
"java.io.PrintStream.writeln (String)","0.339 ms (0%)","0.329 ms (0%)","7.3 ms (0%)","6.83 ms (0%)","83"
"java.lang.StringConcatHelper.simpleConcat (Object, Object)","0.341 ms (0%)","0.325 ms (0%)","1.47 ms (0%)","1.44 ms (0%)","60"
"java.io.BufferedWriter.write (String, int, int)","0.318 ms (0%)","0.320 ms (0%)","0.722 ms (0%)","0.706 ms (0%)","167"
"java.util.Objects.requireNonNull (Object)","0.369 ms (0%)","0.311 ms (0%)","0.369 ms (0%)","0.311 ms (0%)","2,310"
